SKU,Description
031752B,"FR MODULE, GM 4L80E, 4L85E 97+"
031752C,"FR MODULE, GM TH400 HEG 64-95"
031753HP,SMOD TH400 INTERMED W/TURBULTR ST HP 68-95
031800,OVERHAUL KIT TH400 3L80 FULL RING 68-95
031948A,FILTER TH400 FLAT WITH BRASS SCREEN 67+
032402,"MCS TH350, TH400 REAR GM, FORD, CHRYS 2.38"
032410C,"MCS TH180, TH350, TH400, ALLI AT540,640 MANUAL LEVER-VAMA C FOR ALLISON"
032700,FR TH350 INTERMEDIATE  69-86
032701K,"ST GM TH350 LOW/REVERSE KOLENE, 69-86"
032702,FR TH350 F/D 69-86 (USE 032714)
032703K,"ST GM TH350 INTERMEDIATE KOLENE, 69-86"
032705K,ST GM TH350 FORWARD/DIRECT KOLENE 69-86
032742,"FR TH350 FORWARD/DIRECT RED EAGLE, 69-86"
032744,"FR GM TH350 LOW/REVERSE RED EAGLE, 69-86"
032752,"FMOD, GM TH350 69-86"
032752HP,"FMOD GM TH350,C COMBO HI-PERF 69-86"
032753HP,"SMOD TH350,C COMBO HI-PERFORMANCE 69-86"
032940,FILTER TH350 BRASS 69-86
038700,"FR PLATE, 4L30E TH180 3RD SPEED 69+"
038702,FR 4L30E TH180 2ND SPEED 69+
038704,FR PLATE GM 4L30E TH180 REVERSE 69+
038713,FR PLATE 4L30E 2ND CLUTCH 90-ON
038722,FR 4L30E 4TH CLUTCH/OVERDRIVE 90+
038752,"FR MODULE, GM 3L30 TH180, TH180C (1969-98) (THREE PLATES PER DRUM)"
038752D,"FR MODULE, GM 4L30E 95-UP"
038753D,SMOD GM 4L30E 95-UP
038802,"OVERHAUL KIT, 4L30E BMW, ISUZU, HONDA 89+"
038950,"BAND, GM TH180/C, 4L30E 69+"
039752,"FR MODULE, MAZDA RC4AEL, JR405E 2004-UP"
041400A,"MCS A4LD, A4LDE, 4R44E FRONT PUMP 85-96"
041635,"WASHER KI, FORD C-3 78-84"
041635A,"WASHER KITS,  FORD A4LD 91+"
041702,FR PLATE C3 FORD HI-REVERSE
041704,"FR FORD C3, A4LD, OVERDRIVE HEG 85-89"
041710,"FR PLATE, FORD A4LD FORWARD HEG 90+"
041710A,"FR PLATE, FORD 4R/5R55E FORWARD 97+"
041712,"FR PLATE, A4LD REVERSE HIGH 90+"
041712A,"FR PLATE, FORD 4R44E/5R55E REV HIGH 97+"
041714,FR A4LD OVERDRIVE HEG 90+
041714A,"FR PLATE, FORD 4R/5R55E OVERDRIVE 97+"
041752A,FMOD FORD A4LD 85+
041752D,"FR MODULE, FORD A4LD, 4R44E/5R55E , 4R55E 97+"
041753A,"ST MODULE, FORD A4LD 85+"
041753D,"ST MODULE, FORD 4R44E/5R55E 97+"
042500,"MODULATOR MAZDA, GM, FORD, ISUZU 81-93, NISSAN 71-87(4N71B) F3A"
044400,"MCS FP SILICONE TOY VAR A40, A130, A240, A340, AW60-40"
044410,MCS MAN LEVER TOY A40 SER
044700,*** SUPERSEDED BY 044700A230 *** FR A40 SER F/D/OR/INT/OD 73+
044701,ST TOY A40 SER FORWARD/DIRECT/OVERDRIV 73+
044701-230,"ST A46DE,F 90- UP"
044702,FR A40 SER REV 16SPL 73+
044704,"FR PLATE, TOYOYA A40 VARIOUS OVERDRIVE BRAKE"
044710,FR A40 SERIES #2 BRAKE INTERMEDIATE L85+
044752,"FR MODULE, TOYOTA  A40 SERIES 1972-On AW372 (R4AW2) / KM148 (V4AW2) BW55"
044752C,"FMOD TOYOTA A43D, DE, DL 79-83"
044752D,"FR MODULE, A43DL,A43DE(03-71LE)  84+"
044752G,"FR MODULE, TOYOTA A42DL,44DL,45DL 84+"
044752K,FR MODULE A44DE (03-72LE) 92-ON
044753B,"SMOD A43DE, DL 84-ON"
044753J,"ST MODULE, TOYOTA A46DE, DF 90+"
044753K,SMOD A44DE (03-72LE) 92-ON
044901,"MASTER KIT A40,41,43, ALL 3SP 72-93"
044909F,MASTER KIT A44DE (03-72LE) 92-UP
045701-470,"PRESSURE PLATES FRONT CHRYSLER A404, 413, 470, 670"
045702,"FR REAR A404, 413, 470, 670 1978-On"
045752A,"FR MODULE, CHRYSLER A404 ONLY 78-80"
045760B900,"PRESSURE PLATE FWD BOTTOM CHRYSLER A404, 413, 470, 670"
046752C,FMOD VW/ AUDI 087 WITH FINAL DRIVE 84-91
047401,MCS CONV HND 2/4SP *** WHEN OUT USE X047401
048400,"MCS CONV HUB GM TH125, 440T4"
048401,"MCS RT AXLE GM TH125, C, 440T4"
048701,ST GM TH125 FORWARD 80+
048703,ST GM TH125 DIRECT 80+
048705,ST TH125 L/R 80-83
048744,"FR GM TH125,C FORWARD/DIRECT RED EAGLE 85"
049700,"FR FORWARD FIOD,  AOD FRONT/REAR FM SER, MAR/IND 50+ REVERSE"
049704,FR A OD DIRECT HEG 80+
049705,ST AOD DIR 80-90 (IND: 46021)
049706-170,FR A ODE-W 4R70W INT 93-97
049710,"FR PLATE, 4R70W FORWARD LARGER O.D. 90+"
049711,ST AOD GROB HUB FWD LRG 90+
049714,"FR PLATE,  AODE,4R70W DIRECT 96-UP"
049717-175,ST 4R70W INT NEW DESIGN 80+ (REPLACED 049707)
049740,"FR FORD AOD FM SER, MARINE, RED EAGLE 50+"
049752C,FMOD FORD AODE RWD 92-95
049752D,"FR MODULE, FORD AODE-W 4R70W 93-95"
049946,"FILTER AODE (4WD) 94+, 4R70W (96+)"
049955,BAND AOD/E OD STAMP DRUM HP 91+
05016120AAX,SHIFT SOLENOID A340E TOYOTA(LONG BRACKET)
05016121AAX,SHIFT SOLENOID A340E TOYOTA(SHORT BRACKET)
053400,"MCS FP ZF4HP14, ZF4HP16 *** WHEN OUT USE X053400A"
053702,FR ZF3/4HP22 DIR 76+
053752B,"FR MODULE, ZF4HP22 83-99"
053752C,"FMOD ZF4HP24 BMW,AUDI,JAGUAR 88+"
053752E,FMOD ZF4HP24A without Transfer Case 89-99
054800,OVERHAUL KIT MERCEDES 3/4 SP 4BOLT 70-80
055008,GSK ALLI AT540 CONV. HUB
055055,"LC ALLISON AT543,640 TORQUE CONV"
055701-230,"ST ALLISON AT540 FWD, 4TH 70+"
055724A255,"FR ALLISON 540, 640, 650, 700 OE STYLE"
055901,MASTER KIT ALLISON AT540-545 70+
056001,GSK ALLI MT640 FRT PUMP
056050,SEAL ALLI MT640 FRT PUMP
056061,SEAL ALLI MT640 LOCK-UP CLUTCH-OUT
056200,"BUSHING, ALLI 640, 643, 650, 653 PUMP"
056200A,"BUSHING ALLISON  MT640, 654 PUMP OEM #23046152"
056301,"PISTON ALLISON 640, 650, MD3560 TORQUE CONVERTER LOCKUP"
056700,"DISK CLUTCH ALLISON MT640 FORWARD, 4TH"
056702,"FR ALLISON MT640 2ND, 3RD CLUTCH"
056722B315,FR MT654 LOW OE STYLE (REF# 23042210)
056752D,"FMOD MT640,643,644 72+"
056753,"SMOD MT640,643,644 72+"
056804B,OVERHAUL KIT ALLISON  HT700 SERIES 72+
056901,MASTER KIT ALLISON MT640-653 RWD 72+
056905LS,MASTER KIT ALLISON  MT/HT740-770 RWD 72+
057405,MCS TH700R4 EXT HST FLANGE W/BOOT 94+
057700,FR TH700R4 FOR 82-84
057702,FR TH700R4 REV INPUT 82-87
057703,ST TH700R4 REV INPUT 82+
057704,FR TH700R4 3 & 4 CL 82+
057706,FR GM TH70R4 OVERRUN 82+
057708,FR TH700R4 L/R 82+
057712,FR TH700R4 REV INPUT 87+
057720,FR TH700R4 FOR 85+
057725,ST TH700R4 3/4 W/NOTCH 82-12/92
057732-200,FR 4L60 REV INPUT HEG 82-UP
057734-200,"FR PLATE, GM 4L60 3/4 HEG 82-00"
057736-200,"FR PLATE, TH700R4/4L60 OVERUN HEG 82+"
057738-220,"FR PLATE, GM 4L60 L/R HEG 82+"
057744,FR GM TH700R4 3/4 RED EAGLE 82+
057744A,FR GM TH700R4 3/4 POWERPACK RED EAGLE 82+
057752A,FMOD GM TH700R4/4L60/E 87-93
057752B,FMOD 4L60E 87-ON
057752D,"FMOD 4L65E,4L70E HEG 01+"
057753B,"ST MODULE, GM 4L60E 1/4/93+"
057753G,"ST MODULE, GM 4L60E W/TURBULATOR (97-ON)"
057802,OVERHAUL KIT  TH700R4 87-93
057804,OVERHAUL KIT  4L60E/TH700R4 ELEC 92-96
057940,FILTER TH700-R4 (4L60)/ TH200-4R 82-93
057942,FILTER 4L60E 93-96
057946,FILTER 4L60E DEEP PAN 4X4 VANS 98
057946A,FILTER 4L60E DEEP PAN LT TRK 97+ ALL PLASTIC (RETRO FITS TO 057946)
058700,*** USE 058700A *** FR HONDA 3&4 SP 105 MM 80-84
058701,ST HONDA 3&4 SP 80-84
058710G,"*** DO NOT REORDER, USE 058710A *** FR HONDA 4 SPEED 110mm HEG"
058730,*** USE 058730A *** FR 2ND HONDA 4 SPEED 1990-On 3 SHAFT (116mm Clutch)
058730G,*** USE 058730A *** FR PLATE 1ST HONDA 4 SPEED 1990-On 3 SHAFT (116mm Clutch)
058752L,"FR MODULE, HONDA 4 SPEED M24A,A24A 92-95"
058753D,SMOD HONDA 4SP W/LU 86-89
058753E,"HONDA 4SP ACUR,LEG 86-90"
058753P,"SMOD HONDA 4SP CIVIC A/ B4RA, SLXA 96+"
058905H,MASTER KIT ACURA 2.5TL M1WA 95-98
059706,FR KM170 SERIES OVERDRIVE 85+
059706A165,"FR PLATE, HYUNDAI A4AF3 OD 00+"
059713,"ST PLATE, KM175 OD 85+"
059713-100,ST PLATE KM SERIES Overdrive - Hyundai only
059713A400,ST HYUNDAI A4AF3 OD 00+
059725A,ST KM177 L/R 88+
059731,ST KM170 SER FRT 89+
059731-310,ST KM170 SER FRT 89+
059733,ST KM170 SER RR 89+
059733-200,ST HYUNDAI A4AF3 REAR (FWD) 00+
059752M,"FMOD A4AF3, A4BF3 HYUNDAI ACCENT 00-on"
059753H,"SMOD MITSUBISHI KM175-5,176,177, F4A21, F4A22, F4A23 4SPEED 89+"
059753HX,SMOD  MITSUBIDHI HYUNDAI KM175 KM177 F4A232 F4A222
059753K,SMOD W4A32 AWD MITSUBISHI 91-ON
059753M,"ST MODULE, A4AF3, A4BF3 HYUNDAI ACCENT 00-02"
059946C,"*** DO NOT REORDER, USE 41710B  *** FILTER A4BF3 HYUNDAI 00+"
059948A,*** USE 42710Z *** FILTER MITSUBISHI F1C1 LANCER 01+
DEL-059989,SOLENOID OUTPUT SPEED SENSOR GREY  AW60-40LE
061702,FR RL3F01A LOW/REVERSE 81-91
061752,"FR MODULE, NISSAN RL3F01A 81-91"
062400,MCS FP AODE /E4OD 89+
062700-165,FR PLATE 4T65 FWD
062700A165,FR 4T60E FOR INPUT 03+
062704,FR TH440T4 3RD HEG 83-85
062708,FR 4T65E 4TH CL 97+
062716,FR GM 440T4 4TH CLUTCH 90+
062722,FR 4T65E 2ND CL 97+
062724,FR GM 440T4 3RD CLUTCH INTERNAL SPLINE HEG 89+
062752K,FMOD GM 4T65E 01-02
062752L,FMOD 4T65E 97-00
062752N,FMOD 4T65E WO/MAN SHIFT 03+
062753L,SMOD 4T65E 97-00
062760A482,"PRESSURE PLATE ST TH125, 4T60, 4T65E FWD INPUT PP 80+"
062761B,PRESSURE PLATE ST 4T60/E 2ND CL BACKING PP
062762-382,PRESSURE PLATE ST 4T60E/4T65E 3RD CL PP 83+
062765,PRESSURE PLATE ST GM 4T65E 4TH CLUTCH PRESSURE PLATE 97+
063401,MCS JATCO F3A AXLE
063753B,"ST MODULE, F3A MAZDA, GM, FORD, ISUZU F3A 1981-97"
064752,"FR MODULE, 722.3 MERCEDES 81-97"
064940,"FILTER 722.3, 722.4 81+"
064950,BAND 722.3 B1 INT 81-97
064955,BAND 722.3 REAR 81-97
065426,MCS TOY AXLE 2.137 O.D
065428,MCS AXL TOY A140
065430,MCS A241H/A 540H RT AXLE
065700W,FR PLATE A130+240/540 FOR/DIR OVERDRIVE WAVED HEG 83+
065701,"ST PLATE, TOYOTA A130, 140, 240, 540 F/D OD 83+ (IND: 25821)"
065702A,"FR PLATE, TOYOTA A245E, 246E 1ST/LOW/REV #3 BRAKE HEG 93+"
065712,"FR PLATE, TOYOTA A140, 240.540E#2 BRAKE 87+"
065752D,"FR MODULE, TOYOTA MX17 A210 3 SPEED FWD 85-UP"
065752H,FMOD TOYOTA A24E PASEO 4/91+
065752K,"FR MODULE, TOYOTA A140 TOYOTA 90-ON"
065752Q,"FR MODULE, TOYOTA A540H AWD 88+"
065752S,FMOD TOYOTA A245 96-ON
065753B,"SMOD A130,131L,132L FWD 3SP 84-94"
065753C,"ST MODULE, TOYOTA A240E, L, 241E, L FWD 85+"
065753J,"ST MODULE, TOYOTA A245 TOYOTA 96-ON"
065942,"FILTER A240E/L, A241E, A244E 84+"
066752B,FMOD RENAULT MJ3 83-90
066802,"OVERHAUL KIT, RENAULT MED 4139 86-90"
066818,GASKET OIL PAN RENAULT MJ3
066940,"FILTER RENAULT MB1, MJ3 83-90"
066942,FILTER MJ3 RENAULT
067703,"ST A240E, L FWD U1 85+"
067705,"ST A240E, L FWD U2 85+"
068753,SMOD NISSAN RL4F02A 85+
069700,FR AXOD DIRECT/INTERMEDIATE 86+
069752A,FMOD FORD AXODE ELECTRIC 92+
069752B,"FR MODULE, FORD AX4N 95+"
071753X,SMOD MERC W40A20 722.4 83-97
073400,MCS TOY A340 FRT PUMP OE 85+
073700,"FR PLATE TOYOTA A340E, 341E, AW4"
073700A,"FR PLATE, TOYOTA A340 FORWARD WITH TURBO HEG 85+"
073702,"FR PLATE, TOYOTA A340 DIRECT"
073704,"FR PLATE, TOYOTA A340 H 2ND BRK 32T HEG 85+"
073706,"FR PLATE, TOYOTA A340 LOW/REVERSE 85-UP"
073707,ST TOYOTA A340 1ST/LOW/REVERSE 85+
073709-250,"ST AW30-40,43LE OD/D 92+"
073752C,"FR MODULE, TOYOTA A340 JEEP/TRUCK 85+, A343F 96-99"
073752H,"FMOD TOYOTA A340,341E LEXUS LS/SC400 89-98"
073752M,"FR MODULE A340E/F 4RUN, SEQUOIA 9/99+"
073753C,"ST MODULE, TOYOTA A340 JEEP/TRUCK 85+"
073753CX,SMOD TOYOTA A340E A340F A340H 1985-99
073753M,"SMOD A340/E 4RUN, SEQUOIA 99+"
073753S,SMOD TOYOTA A340E TOYOTA 4RUNNER & PICK UP 4WD V6
073913A,MASTER KIT TOY A343F 8/99+
073950,"BAND, A340E/H, A341E 85+"
074753D,"SMOD G4AEL, G4AHL, GF4AEL INVALID ITEM #.DELETE WHEN IN SINGLE USER"
075700A,FR RE4R01A FORWARD 4 WHEEL DRIVE 87+
075703,ST PLATE NISSAN RE4R01A HI 87-8/89
075704,"FR PLATE, RE4R01A LOW/REV BRAKE DRUM #2 HEG 87+"
075706,"FR PLATE, RE4R01A REVERSE 87-92"
075706A,"FR PLATE NISSAN RE4R01A, RL4R01A 1988-On REVERSE, WIDE"
075752N,"FMOD RE4R01A, RL4R01A PATHFINDER 95 (4X2)  PICKUP 93-96 (4X4)"
075752R,FMOD RE4R01A PATHFINDER 96-ON
075901E,MASTER KIT RE4R01A PATH/PU J30 93+
077700,"FR PLATE, A604/606 UD/REV 88+ OD HEG 90+"
077700A,FR A604 OVERDRIVE 88-89
077753X,SMOD CHRYSLER A604 1988-UP
077944A,FILTER 42RLE JEEP LIBERTY 03+
DEL-077945,"SOLENOID, GM,TH700-R4, 4L60E,4L65E  A & B SHIFT (1-2 & 2-3 SHIFT) 93-UP OEM#10478131"
078700G,"*** DO NOT REORDER, USE 078700A *** FR PLATE HONDA 4 SPEED 1990-On 3 SHAFT (120mm Clutch)"
078705,ST PLATE HONDA 4 SPEED 1990-On
078752,"FR MODULE, HONDA ACCORD APXA, AOYA, MPOA, MPWA, MPXA, PX4B 90-97"
078752C,FMOD ACURA NSX.MR9A W/ DIFF 91+
078752D,"FR MODULE, HONDA B7XA, M7ZA 98+"
078753E,"ST MODULE, HONDA B7XA, M7ZA 98+"
078942,"FILTER PX4B,APX4, ACCORD, PRE 92-95"
079752,"FR MODULE, BTR 85,91,93,95,97LE M74 90-97"
079800,OVERHAUL  KIT BTR85
079802,OVERHAUL KIT  BTR M74 FAIRLANE 93-05
079903,MASTER KIT  BTR M74 FAIRLANE 93-05
079940,"*** USE 208595 *** FILTER BTR 85LE, 91,95 90+"
081700,FR F4E EAT 4EAT-F FORWARD 90+
081701,ST F4E EAT 4EAT-F FWD 90+
081702,"FR PLATE, F4EAT-F COAST 3RD 90+"
081703,ST F4E EAT 4EAT-F CST 3RD 90+
081706,FR F4E EAT-F LOW 90+
081708,FR F4E EAT 4EAT-F OVERDRIVE 90+
081709,ST F4E EAT 4EAT-F OD 90+
081753,"ST MODULE, 4EAT-F PROBE, FA4EL (MAZDA) 91-96"
081753B,SMOD F4AEL(4EAT-F) 95-99
083700,FR A440F OVERDRIVE /FRONT/REAR HEG 85+
083700-198,FR A450-43LE REV/3RD HEG 98+
083752A,"FR MODULE, TOYOTA A442F LANDCRUISER 93+"
083753B,"ST MODULE, TOYOTA A442F LANDCRUISER 93+"
083944,"FILTER TOYOTA A442F, FJ80 93-95"
095730-220,FR HD SPORTSTER/BIG TWIN 91-UP
101425,MCS HONDA 4 SP LEFT AXLE (61 MM)
101426,MCS HONDA 4 SP RIGHT AXL (75 MM)
101752,"FR MODULE, ACURA LEGEND MPYA (91-95), 3.2TL M5HA (96-98), 3.5RL M5DA (96-04)"
102750,"FSMOD SATURN TAAT MP6,MP7 91+"
103405,CONVERTER SEAL 09G
103700,FR PLATE ZF4HP14 E PACK (INPUT)
103702-155,"FR ZF4HP14 A,C,D, PACK HEG 86+"
103753,SMOD ZF4HP14 PEUGEOT 405 89+
103940,"FILTER ZF4HP14, ,ZF4HP18 (IND# 85701A)"
104702-160,FR ZF4HP18 A D PACK HEG 86+
104752A,FMOD ZF5HP18 5 SPEED RWD 91+
104753A,SMOD ZF5HP18 5 SPEED RWD 91+
104907A,MASTER KIT ZF 4HP18-FLA 4X4 90+
10502B,FR PLATE NISSAN RE4F04A/V/B 1992-On HIGH
105700,"FR NISSAN JF403E,RE4F04A FORWARD 90+"
105701,"ST PLATE NISSAN JF403E, RE4F04A FWD 90-UP"
105704,"FR NISSAN JF403E,RE4F04A REVERSE HEG 90+"
105706-180,"FR PLATE, RE4F04A L/R 92-UP"
105753AX,SMOD NISSAN RE4F04A (FORD) 1992-UP
106101A,"FR TF-81SC, AF21 (FORD), 1-2-3-4 CLUTCH, 54T, OD: 6 3/16"", 05-UP"
106103A,"FR TF-81SC, AF21 (FORD), 3-5 REVERSE CLUTCH, 54T, OD: 6 1/2"", 05-UP"
106105A,"FR TF-81SC, AF21 (FORD),4-5-6 CLUTCH, 55T, OD: 6 5/16"", 05-UP"
106107A,"FR TF-81SC, AF21 (FORD),LOW/REVERSE CLUTCH, 60T, OD: 7 1/4"", 05-UP"
106703,"ST NISSAN RE4R03A,RG4R01A HI/REVERSE 88+"
106752,FMOD RE4R03A NISSAN 89-ON
106752A,"FR MODULE, ISUZU JR403E 1988-On"
107700,"FR PLATE, NISSAN RL4F03A FORWARD 90+"
107702,"FR PLATE, NISSAN RL4F03A HI 90+"
107702A,FR NISSAN RL4F03A/V HIGH 1.6L 91-ON
107704,"FR PLATE, RE4F03A/V, RL4F03A/V, REVERSE 1991-03 (OD: 5.14"" - 18T)"
107752,"FR MODULE, NISSAN RL4F03A, RE4F03A V 1.6 & 2.0L 91-94"
107752A,"FR MODULE, NISSAN RL4F03A, V 1.6 & 2.0L 95+"
107753,"SMOD NISSAN RL4F03A, V 1.6L 91+"
107753A,"ST MODULE, NISSAN RL4F03A, V 2.OL 91+"
107753AX,SMOD NISSAN RL4F03A 95-UP
108750HP,FSMOD MITS  F4A33-1 HI PERFORMANCE  PWR 91+
108753,SMOD MITSUBISHI F4A33-1 91-UP
108753X,SMOD MITSUBISHI F4A33 HYUNDAI DODGE EAGLE 1991-UP
108802,"OVERHAUL KIT MIT W4A-32,33 91+"
108940,"FILTER F4A33, W4A32, W4A33 METAL 91+"
108960,BAND MIT KICKDOWN HP 91+
109505,WIRE HARNESS OEM VW 095/096/01M (OEM# 01M927365)
109670A,"PISTON KIT VW 01M,01N,01P (7) W/O SHAFT COV 95+"
109706,"FR PLATE AUDI 4 SPEED (1989-95) 095, 096, 097, 098 (AG4), 01M, 01N, 01P (3-4 CLUTCH)"
109717-145,FR PLATE VW AG4 1ST & 3RD 94+
109752D,"FR MODULE,  01M, AUDI AG4 96+"
109753D,"ST MODULE, VW 01M, AUDI AG4 95+"
109760A640,"PRESSURE PLATE 01M K1, FWD"
109901B,MASTER KIT VW AG4/OIM 95+ W/PIST
109941,"FILTER VW CABRIO,GOLF, JETTA 94+"
110704,"FR AW5040LE, LM B3 LOW/REV HEG 89-98"
110753,"ST MODULE, AW50-40LE/42LE AF20/21 89+"
110753X,"ST MODULE, AW50-40LE AW50-41LE (OPEL SAAB SUZUKI DAEWOO)1989-UP"
110800,OVERHAUL KIT  AW50-40LE /42LE AF20/21 89-E97
111211C,"WASHER, AT540 FRONT PUMP"
111211D,"WASHER, AT540 FRONT PUMP, 11407C"
111211E,"WASHER, AT540 FRONT PUMP, 11407D"
111238,"WASHER FRONT PLANET REAR, 11415"
111241,"WASHER FRONT SUN GEAR FRONT, 11411"
111241A,"WASHER FRONT SUN GR LATE 5, 11411A"
111250C,"WASHER CENTER PLANET RR, 11418"
112700,"FR PLATE, FORD CD4E FORWARD 93+"
